measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,81,Germany,1,Male,24,15-49 years,429,Breast cancer,1,Number,1990,7.384725710142729,9.018259232875298,5.973896334105532
1,Deaths,81,Germany,2,Female,24,15-49 years,429,Breast cancer,1,Number,1990,2322.2294946424845,2491.7607518665754,2156.360333350466
1,Deaths,81,Germany,3,Both,24,15-49 years,429,Breast cancer,1,Number,1990,2329.6142203526297,2498.2263029644414,2162.988785044208
1,Deaths,81,Germany,1,Male,25,50-69 years,429,Breast cancer,1,Number,1990,44.990539640906235,53.85305232958177,37.01251275727153
1,Deaths,81,Germany,2,Female,25,50-69 years,429,Breast cancer,1,Number,1990,8257.449663637908,8970.699789090813,7613.076395397994
1,Deaths,81,Germany,3,Both,25,50-69 years,429,Breast cancer,1,Number,1990,8302.440203278811,9011.798448115134,7662.028617198965
1,Deaths,81,Germany,1,Male,26,70+ years,429,Breast cancer,1,Number,1990,52.08698672683677,65.40893293995501,41.220408192300546
1,Deaths,81,Germany,2,Female,26,70+ years,429,Breast cancer,1,Number,1990,10034.494128955756,10958.766934955296,8913.237990128877
1,Deaths,81,Germany,3,Both,26,70+ years,429,Breast cancer,1,Number,1990,10086.581115682591,11010.278516959004,8962.597400593224
1,Deaths,6,China,1,Male,24,15-49 years,429,Breast cancer,1,Number,1990,180.99048596872927,246.65165290606484,108.87414166130786
1,Deaths,6,China,2,Female,24,15-49 years,429,Breast cancer,1,Number,1990,13566.945890224002,16802.55423858072,10747.378852391752
1,Deaths,6,China,3,Both,24,15-49 years,429,Breast cancer,1,Number,1990,13747.93637619273,16954.946235197327,10931.74375200034
1,Deaths,6,China,1,Male,25,50-69 years,429,Breast cancer,1,Number,1990,504.5421826455357,699.5784295305788,349.6091375817102
1,Deaths,6,China,2,Female,25,50-69 years,429,Breast cancer,1,Number,1990,19121.02236152066,23590.85784920526,15539.79861391952
1,Deaths,6,China,3,Both,25,50-69 years,429,Breast cancer,1,Number,1990,19625.564544166198,24126.58568564966,16009.64425282282
1,Deaths,6,China,1,Male,26,70+ years,429,Breast cancer,1,Number,1990,175.26547352639062,250.26676534721122,127.52923932171191
1,Deaths,6,China,2,Female,26,70+ years,429,Breast cancer,1,Number,1990,7668.941622135233,9014.0639223678,6369.790011108926
1,Deaths,6,China,3,Both,26,70+ years,429,Breast cancer,1,Number,1990,7844.207095661632,9200.274558685453,6520.852940562795
1,Deaths,67,Japan,1,Male,24,15-49 years,429,Breast cancer,1,Number,1990,3.305535553849158,3.437248939308698,3.1718863821733443
1,Deaths,67,Japan,2,Female,24,15-49 years,429,Breast cancer,1,Number,1990,1792.0506309534856,1836.0230817308602,1749.4375192598754
1,Deaths,67,Japan,3,Both,24,15-49 years,429,Breast cancer,1,Number,1990,1795.356166507334,1839.3227691871691,1752.681183013099
1,Deaths,67,Japan,1,Male,25,50-69 years,429,Breast cancer,1,Number,1990,20.59266634341015,21.394081606108216,19.83328178019688
1,Deaths,67,Japan,2,Female,25,50-69 years,429,Breast cancer,1,Number,1990,3235.638491709832,3339.5700864918754,3090.3222182574204
1,Deaths,67,Japan,3,Both,25,50-69 years,429,Breast cancer,1,Number,1990,3256.2311580532414,3359.7802073902008,3110.5950111540087
1,Deaths,67,Japan,1,Male,26,70+ years,429,Breast cancer,1,Number,1990,26.20689529055608,27.40170549050782,24.534996340428204
